Day,Confirmed,Deceased,Recovered,State_Name
1,657,6,477,Andhra Pradesh
2,105,2,34,Andhra Pradesh
3,845,5,325,Andhra Pradesh
4,115,0,40,Andhra Pradesh
5,837,8,319,Andhra Pradesh
6,180,4,50,Andhra Pradesh
7,765,12,376,Andhra Pradesh
8,141,3,65,Andhra Pradesh
9,998,14,414,Andhra Pradesh
10,138,2,36,Andhra Pradesh
11,1322,7,498,Andhra Pradesh
12,210,0,75,Andhra Pradesh
13,1178,13,825,Andhra Pradesh
14,199,2,29,Andhra Pradesh
15,1062,12,1356,Andhra Pradesh
16,154,0,42,Andhra Pradesh
17,1555,13,1053,Andhra Pradesh
18,69,2,48,Andhra Pradesh
19,1608,15,1040,Andhra Pradesh
20,365,1,110,Andhra Pradesh
21,1813,17,1199,Andhra Pradesh
22,182,2,99,Andhra Pradesh
23,1933,19,1019,Andhra Pradesh
24,207,0,123,Andhra Pradesh
25,1935,37,1052,Andhra Pradesh
26,222,2,94,Andhra Pradesh
27,1916,43,1003,Andhra Pradesh
28,294,2,131,Andhra Pradesh
29,2432,44,911,Andhra Pradesh
30,304,2,69,Andhra Pradesh
31,2593,40,1015,Andhra Pradesh
