Day,Confirmed,Deceased,Recovered,State_Name
1,548,0,184,Assam
2,146,0,99,Assam
3,479,2,275,Assam
4,74,0,53,Assam
5,365,0,221,Assam
6,271,0,76,Assam
7,1202,0,416,Assam
8,285,0,46,Assam
9,735,0,690,Assam
10,128,0,50,Assam
11,786,0,508,Assam
12,230,0,79,Assam
13,814,2,388,Assam
14,208,0,48,Assam
15,696,6,397,Assam
16,154,0,148,Assam
17,568,5,421,Assam
18,215,1,312,Assam
19,936,8,701,Assam
20,235,1,152,Assam
21,535,2,578,Assam
22,145,0,184,Assam
23,735,4,468,Assam
24,263,2,152,Assam
25,1001,4,522,Assam
26,207,0,221,Assam
27,859,6,757,Assam
28,218,0,155,Assam
29,1088,2,715,Assam
30,191,0,245,Assam
31,892,2,666,Assam
32,201,0,206,Assam
33,1218,1,551,Assam
34,184,0,231,Assam
35,1117,2,1060,Assam
36,209,1,206,Assam
37,1018,4,858,Assam
38,0,0,218,Assam
39,1093,1,1072,Assam
40,249,0,136,Assam
41,1680,6,938,Assam
42,332,0,202,Assam
43,972,2,1317,Assam
44,267,0,161,Assam
45,1047,4,1349,Assam
46,203,0,197,Assam
47,1130,6,1062,Assam
48,226,0,196,Assam
49,1165,1,1294,Assam
50,364,0,75,Assam
51,1142,2,985,Assam
52,273,0,214,Assam
53,1348,7,1362,Assam
54,246,1,567,Assam
55,1371,2,1216,Assam
56,327,1,274,Assam
57,1348,4,1214,Assam
58,302,0,245,Assam
59,2112,2,1248,Assam
60,613,1,314,Assam
61,1862,4,1277,Assam
