Day,Confirmed,Deceased,Recovered,State_Name
1,216,5,267,Bihar
2,478,5,183,Bihar
3,426,6,217,Bihar
4,349,4,277,Bihar
5,403,2,277,Bihar
6,280,7,249,Bihar
7,385,1,324,Bihar
8,749,2,203,Bihar
9,704,9,251,Bihar
10,352,2,459,Bihar
11,709,7,740,Bihar
12,1266,7,962,Bihar
13,1116,9,411,Bihar
14,1432,9,655,Bihar
15,1320,14,514,Bihar
16,1385,10,568,Bihar
17,1742,6,896,Bihar
18,1667,4,774,Bihar
19,1412,2,826,Bihar
20,1076,8,938,Bihar
21,1109,11,1206,Bihar
22,1502,10,1135,Bihar
23,1625,4,1083,Bihar
24,1820,9,1873,Bihar
25,2803,11,1688,Bihar
26,2605,17,1788,Bihar
27,2192,6,1536,Bihar
28,2480,14,1376,Bihar
29,2328,4,1284,Bihar
30,2082,12,1169,Bihar
31,2986,13,1977,Bihar
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,32,,,
