Day,Confirmed,Deceased,Recovered,State_Name
1,6,0,3,Chandigarh
2,4,0,22,Chandigarh
3,4,0,4,Chandigarh
4,5,0,2,Chandigarh
5,7,0,0,Chandigarh
6,21,0,6,Chandigarh
7,5,1,0,Chandigarh
8,15,0,1,Chandigarh
9,16,0,1,Chandigarh
10,13,0,5,Chandigarh
11,13,1,5,Chandigarh
12,10,0,4,Chandigarh
13,29,0,6,Chandigarh
14,12,2,23,Chandigarh
15,19,1,13,Chandigarh
16,16,0,17,Chandigarh
17,25,0,4,Chandigarh
18,31,1,5,Chandigarh
19,26,0,3,Chandigarh
20,20,0,30,Chandigarh
21,14,0,0,Chandigarh
22,29,1,8,Chandigarh
23,20,0,5,Chandigarh
24,23,0,4,Chandigarh
25,29,0,20,Chandigarh
26,35,0,17,Chandigarh
27,23,1,3,Chandigarh
28,24,0,24,Chandigarh
29,44,0,12,Chandigarh
30,38,0,36,Chandigarh
31,35,1,20,Chandigarh
