Day,Confirmed,Deceased,Recovered,State_Name
1,82,1,53,Chhattisgarh
2,73,0,59,Chhattisgarh
3,52,0,52,Chhattisgarh
4,96,0,112,Chhattisgarh
5,46,0,52,Chhattisgarh
6,98,0,66,Chhattisgarh
7,110,0,84,Chhattisgarh
8,111,0,107,Chhattisgarh
9,140,1,68,Chhattisgarh
10,166,2,125,Chhattisgarh
11,65,0,42,Chhattisgarh
12,184,2,83,Chhattisgarh
13,184,0,49,Chhattisgarh
14,114,1,73,Chhattisgarh
15,177,0,49,Chhattisgarh
16,198,1,127,Chhattisgarh
17,249,3,61,Chhattisgarh
18,243,0,146,Chhattisgarh
19,161,0,117,Chhattisgarh
20,191,4,169,Chhattisgarh
21,133,1,170,Chhattisgarh
22,268,0,116,Chhattisgarh
23,371,5,157,Chhattisgarh
24,449,2,180,Chhattisgarh
25,363,3,116,Chhattisgarh
26,431,4,261,Chhattisgarh
27,367,2,228,Chhattisgarh
28,306,1,267,Chhattisgarh
29,314,4,197,Chhattisgarh
30,256,1,285,Chhattisgarh
31,336,3,309,Chhattisgarh
