Day,Confirmed,Deceased,Recovered,State_Name
1,16,0,27,Dadra and Nagar Haveli and Daman and Diu
2,25,0,3,Dadra and Nagar Haveli and Daman and Diu
3,50,0,21,Dadra and Nagar Haveli and Daman and Diu
4,37,0,9,Dadra and Nagar Haveli and Daman and Diu
5,32,0,17,Dadra and Nagar Haveli and Daman and Diu
6,27,0,16,Dadra and Nagar Haveli and Daman and Diu
7,27,1,10,Dadra and Nagar Haveli and Daman and Diu
8,15,0,11,Dadra and Nagar Haveli and Daman and Diu
9,14,0,10,Dadra and Nagar Haveli and Daman and Diu
10,14,0,19,Dadra and Nagar Haveli and Daman and Diu
11,14,0,12,Dadra and Nagar Haveli and Daman and Diu
12,16,0,31,Dadra and Nagar Haveli and Daman and Diu
13,25,0,42,Dadra and Nagar Haveli and Daman and Diu
14,16,0,33,Dadra and Nagar Haveli and Daman and Diu
15,17,1,28,Dadra and Nagar Haveli and Daman and Diu
16,18,0,21,Dadra and Nagar Haveli and Daman and Diu
17,32,0,22,Dadra and Nagar Haveli and Daman and Diu
18,45,0,22,Dadra and Nagar Haveli and Daman and Diu
19,37,0,14,Dadra and Nagar Haveli and Daman and Diu
20,21,0,15,Dadra and Nagar Haveli and Daman and Diu
21,28,0,10,Dadra and Nagar Haveli and Daman and Diu
22,36,0,15,Dadra and Nagar Haveli and Daman and Diu
23,45,0,23,Dadra and Nagar Haveli and Daman and Diu
24,44,0,18,Dadra and Nagar Haveli and Daman and Diu
25,37,0,13,Dadra and Nagar Haveli and Daman and Diu
26,49,0,21,Dadra and Nagar Haveli and Daman and Diu
27,36,0,32,Dadra and Nagar Haveli and Daman and Diu
28,44,0,51,Dadra and Nagar Haveli and Daman and Diu
29,38,0,19,Dadra and Nagar Haveli and Daman and Diu
30,35,0,17,Dadra and Nagar Haveli and Daman and Diu
31,46,0,41,Dadra and Nagar Haveli and Daman and Diu
