Day,Confirmed,Deceased,Recovered,State_Name
1,0,0,0,Daman and Diu
2,0,0,0,Daman and Diu
3,0,0,0,Daman and Diu
4,0,0,0,Daman and Diu
5,0,0,0,Daman and Diu
6,0,0,0,Daman and Diu
7,0,0,0,Daman and Diu
8,0,0,0,Daman and Diu
9,0,0,0,Daman and Diu
10,0,0,0,Daman and Diu
11,0,0,0,Daman and Diu
12,0,0,0,Daman and Diu
13,0,0,0,Daman and Diu
14,0,0,0,Daman and Diu
15,0,0,0,Daman and Diu
16,0,0,0,Daman and Diu
17,0,0,0,Daman and Diu
18,0,0,0,Daman and Diu
19,0,0,0,Daman and Diu
20,0,0,0,Daman and Diu
21,0,0,0,Daman and Diu
22,0,0,0,Daman and Diu
23,0,0,0,Daman and Diu
24,0,0,0,Daman and Diu
25,0,0,0,Daman and Diu
26,0,0,0,Daman and Diu
27,0,0,0,Daman and Diu
28,0,0,0,Daman and Diu
29,0,0,0,Daman and Diu
30,0,0,0,Daman and Diu
31,0,0,0,Daman and Diu
