Day,Confirmed,Deceased,Recovered,State_Name
1,2442,61,1644,Delhi
2,2373,61,3015,Delhi
3,2520,59,2617,Delhi
4,2505,81,2632,Delhi
5,2244,63,3083,Delhi
6,1379,48,749,Delhi
7,2008,50,2129,Delhi
8,2033,48,3982,Delhi
9,2187,45,4027,Delhi
10,2089,42,2468,Delhi
11,1781,34,2998,Delhi
12,1573,37,2276,Delhi
13,1246,40,1344,Delhi
14,1606,35,1924,Delhi
15,1647,41,2463,Delhi
16,1652,58,1994,Delhi
17,1462,26,1608,Delhi
18,1475,26,1973,Delhi
19,1211,31,1860,Delhi
20,954,35,1784,Delhi
21,1349,27,1200,Delhi
22,1227,29,1532,Delhi
23,1041,26,1415,Delhi
24,1025,32,1866,Delhi
25,1142,29,2137,Delhi
26,1075,21,1807,Delhi
27,613,26,1497,Delhi
28,1056,28,1135,Delhi
29,1035,26,1126,Delhi
30,1093,29,1091,Delhi
31,1195,27,1206,Delhi
