Day,Confirmed,Deceased,Recovered,State_Name
1,72,1,74,Goa
2,95,0,64,Goa
3,94,0,38,Goa
4,108,2,53,Goa
5,77,1,111,Goa
6,52,0,125,Goa
7,90,1,95,Goa
8,136,0,51,Goa
9,112,1,66,Goa
10,100,0,74,Goa
11,117,3,81,Goa
12,85,2,59,Goa
13,130,3,53,Goa
14,170,1,67,Goa
15,198,0,67,Goa
16,157,1,143,Goa
17,196,2,129,Goa
18,180,0,92,Goa
19,173,1,180,Goa
20,196,1,143,Goa
21,174,3,88,Goa
22,149,2,92,Goa
23,174,1,114,Goa
24,190,0,210,Goa
25,146,4,182,Goa
26,175,2,230,Goa
27,258,1,133,Goa
28,168,0,185,Goa
29,202,3,189,Goa
30,215,3,221,Goa
31,209,3,206,Goa
