Day,Confirmed,Deceased,Recovered,State_Name
1,675,21,368,Gujarat
2,681,19,563,Gujarat
3,687,18,340,Gujarat
4,712,21,473,Gujarat
5,725,18,486,Gujarat
6,735,17,423,Gujarat
7,778,17,421,Gujarat
8,783,16,569,Gujarat
9,861,15,429,Gujarat
10,875,14,441,Gujarat
11,872,10,502,Gujarat
12,879,13,513,Gujarat
13,902,10,608,Gujarat
14,915,14,749,Gujarat
15,925,10,791,Gujarat
16,919,10,828,Gujarat
17,949,17,770,Gujarat
18,960,19,1062,Gujarat
19,965,20,877,Gujarat
20,998,20,777,Gujarat
21,1026,34,744,Gujarat
22,1020,28,837,Gujarat
23,1078,28,718,Gujarat
24,1068,26,872,Gujarat
25,1081,22,782,Gujarat
26,1110,21,753,Gujarat
27,1052,22,1015,Gujarat
28,1108,24,1032,Gujarat
29,1144,24,783,Gujarat
30,1159,22,879,Gujarat
31,1153,22,833,Gujarat
