Day,Confirmed,Deceased,Recovered,State_Name
1,393,4,527,Haryana
2,568,11,520,Haryana
3,494,4,672,Haryana
4,545,5,566,Haryana
5,457,5,687,Haryana
6,499,11,391,Haryana
7,495,3,310,Haryana
8,691,3,461,Haryana
9,674,5,399,Haryana
10,570,3,399,Haryana
11,648,7,490,Haryana
12,658,4,589,Haryana
13,689,7,654,Haryana
14,699,4,453,Haryana
15,678,7,577,Haryana
16,696,3,518,Haryana
17,795,5,533,Haryana
18,750,17,600,Haryana
19,617,5,475,Haryana
20,694,6,433,Haryana
21,604,9,726,Haryana
22,724,8,745,Haryana
23,789,6,552,Haryana
24,780,4,704,Haryana
25,783,7,701,Haryana
26,794,3,730,Haryana
27,795,5,662,Haryana
28,749,9,712,Haryana
29,755,7,662,Haryana
30,623,4,920,Haryana
31,711,4,887,Haryana
