Day,Confirmed,Deceased,Recovered,State_Name
1,26,0,42,Himachal Pradesh
2,35,0,15,Himachal Pradesh
3,19,0,39,Himachal Pradesh
4,13,1,25,Himachal Pradesh
5,17,0,28,Himachal Pradesh
6,14,0,26,Himachal Pradesh
7,6,0,27,Himachal Pradesh
8,18,0,43,Himachal Pradesh
9,39,0,13,Himachal Pradesh
10,31,0,39,Himachal Pradesh
11,11,0,23,Himachal Pradesh
12,31,0,21,Himachal Pradesh
13,30,0,11,Himachal Pradesh
14,66,0,11,Himachal Pradesh
15,32,0,28,Himachal Pradesh
16,36,0,5,Himachal Pradesh
17,40,0,40,Himachal Pradesh
18,40,0,19,Himachal Pradesh
19,64,0,29,Himachal Pradesh
20,110,0,8,Himachal Pradesh
21,33,1,10,Himachal Pradesh
22,61,0,28,Himachal Pradesh
23,109,0,31,Himachal Pradesh
24,120,1,9,Himachal Pradesh
25,95,0,28,Himachal Pradesh
26,127,1,25,Himachal Pradesh
27,94,0,18,Himachal Pradesh
28,60,0,18,Himachal Pradesh
29,73,0,98,Himachal Pradesh
30,103,0,55,Himachal Pradesh
31,58,0,72,Himachal Pradesh
