Day,Confirmed,Deceased,Recovered,State_Name
1,198,4,134,Jammu and Kashmir
2,154,10,118,Jammu and Kashmir
3,170,4,101,Jammu and Kashmir
4,227,8,68,Jammu and Kashmir
5,183,5,112,Jammu and Kashmir
6,246,6,63,Jammu and Kashmir
7,256,5,81,Jammu and Kashmir
8,330,6,168,Jammu and Kashmir
9,240,5,128,Jammu and Kashmir
10,387,5,91,Jammu and Kashmir
11,268,10,109,Jammu and Kashmir
12,357,10,84,Jammu and Kashmir
13,314,8,116,Jammu and Kashmir
14,346,8,128,Jammu and Kashmir
15,493,11,114,Jammu and Kashmir
16,490,16,109,Jammu and Kashmir
17,601,9,112,Jammu and Kashmir
18,441,5,607,Jammu and Kashmir
19,701,8,646,Jammu and Kashmir
20,751,10,463,Jammu and Kashmir
21,608,9,181,Jammu and Kashmir
22,453,10,152,Jammu and Kashmir
23,718,9,102,Jammu and Kashmir
24,353,14,508,Jammu and Kashmir
25,523,9,300,Jammu and Kashmir
26,615,7,411,Jammu and Kashmir
27,470,9,474,Jammu and Kashmir
28,489,12,483,Jammu and Kashmir
29,540,15,437,Jammu and Kashmir
30,450,17,520,Jammu and Kashmir
31,490,12,375,Jammu and Kashmir
