Day,Confirmed,Deceased,Recovered,State_Name
1,1272,7,145,Karnataka
2,1502,19,271,Karnataka
3,1694,21,471,Karnataka
4,1839,42,439,Karnataka
5,1925,37,603,Karnataka
6,1843,30,680,Karnataka
7,1498,15,571,Karnataka
8,2062,54,778,Karnataka
9,2228,17,957,Karnataka
10,2313,57,1003,Karnataka
11,2798,70,880,Karnataka
12,2627,71,693,Karnataka
13,2738,73,838,Karnataka
14,2496,87,1142,Karnataka
15,3176,87,1076,Karnataka
16,4169,104,1263,Karnataka
17,3693,115,1028,Karnataka
18,4537,93,1018,Karnataka
19,4120,91,1290,Karnataka
20,3648,72,730,Karnataka
21,3649,61,1664,Karnataka
22,4764,55,1780,Karnataka
23,5030,97,2071,Karnataka
24,5007,110,2037,Karnataka
25,5072,72,2403,Karnataka
26,5199,82,2088,Karnataka
27,5324,75,1847,Karnataka
28,5536,102,2819,Karnataka
29,5503,90,2397,Karnataka
30,6128,83,3793,Karnataka
31,5483,84,3094,Karnataka
