Day,Confirmed,Deceased,Recovered,State_Name
1,151,1,132,Kerala
2,160,0,202,Kerala
3,211,0,201,Kerala
4,240,0,209,Kerala
5,225,0,126,Kerala
6,193,2,167,Kerala
7,272,0,111,Kerala
8,301,0,107,Kerala
9,339,0,149,Kerala
10,416,0,112,Kerala
11,488,2,143,Kerala
12,435,2,132,Kerala
13,449,2,162,Kerala
14,608,1,181,Kerala
15,623,1,196,Kerala
16,722,2,228,Kerala
17,791,1,132,Kerala
18,593,2,204,Kerala
19,821,2,172,Kerala
20,794,1,245,Kerala
21,720,1,274,Kerala
22,1038,1,272,Kerala
23,1078,5,432,Kerala
24,885,4,968,Kerala
25,1103,5,1049,Kerala
26,927,2,689,Kerala
27,702,2,745,Kerala
28,1167,4,679,Kerala
29,903,1,641,Kerala
30,506,2,794,Kerala
31,1310,3,864,Kerala
