Day,Confirmed,Deceased,Recovered,State_Name
1,17,0,46,Ladakh
2,1,0,35,Ladakh
3,11,0,47,Ladakh
4,3,0,50,Ladakh
5,0,0,0,Ladakh
6,0,0,10,Ladakh
7,36,0,24,Ladakh
8,6,0,28,Ladakh
9,8,0,27,Ladakh
10,9,0,2,Ladakh
11,13,0,11,Ladakh
12,9,0,0,Ladakh
13,7,0,18,Ladakh
14,35,0,0,Ladakh
15,14,0,18,Ladakh
16,5,0,6,Ladakh
17,4,1,3,Ladakh
18,8,0,12,Ladakh
19,19,0,18,Ladakh
20,17,0,4,Ladakh
21,3,0,3,Ladakh
22,8,0,8,Ladakh
23,4,0,7,Ladakh
24,36,0,10,Ladakh
25,30,1,22,Ladakh
26,9,1,6,Ladakh
27,21,0,3,Ladakh
28,21,0,1,Ladakh
29,20,2,13,Ladakh
30,31,1,14,Ladakh
31,26,0,1,Ladakh
