Day,Confirmed,Deceased,Recovered,State_Name
1,0,0,0,Lakshadweep
2,0,0,0,Lakshadweep
3,0,0,0,Lakshadweep
4,0,0,0,Lakshadweep
5,0,0,0,Lakshadweep
6,0,0,0,Lakshadweep
7,0,0,0,Lakshadweep
8,0,0,0,Lakshadweep
9,0,0,0,Lakshadweep
10,0,0,0,Lakshadweep
11,0,0,0,Lakshadweep
12,0,0,0,Lakshadweep
13,0,0,0,Lakshadweep
14,0,0,0,Lakshadweep
15,0,0,0,Lakshadweep
16,0,0,0,Lakshadweep
17,0,0,0,Lakshadweep
18,0,0,0,Lakshadweep
19,0,0,0,Lakshadweep
20,0,0,0,Lakshadweep
21,0,0,0,Lakshadweep
22,0,0,0,Lakshadweep
23,0,0,0,Lakshadweep
24,0,0,0,Lakshadweep
25,0,0,0,Lakshadweep
26,0,0,0,Lakshadweep
27,0,0,0,Lakshadweep
28,0,0,0,Lakshadweep
29,0,0,0,Lakshadweep
30,0,0,0,Lakshadweep
31,0,0,0,Lakshadweep
