Day,Confirmed,Deceased,Recovered,State_Name
1,268,9,260,Madhya Pradesh
2,245,8,160,Madhya Pradesh
3,191,4,234,Madhya Pradesh
4,307,5,185,Madhya Pradesh
5,326,10,177,Madhya Pradesh
6,354,9,168,Madhya Pradesh
7,343,5,189,Madhya Pradesh
8,409,7,219,Madhya Pradesh
9,305,5,245,Madhya Pradesh
10,316,4,249,Madhya Pradesh
11,544,6,198,Madhya Pradesh
12,431,9,197,Madhya Pradesh
13,575,10,332,Madhya Pradesh
14,798,10,367,Madhya Pradesh
15,638,9,333,Madhya Pradesh
16,735,7,219,Madhya Pradesh
17,704,9,387,Madhya Pradesh
18,681,8,350,Madhya Pradesh
19,837,15,447,Madhya Pradesh
20,710,17,373,Madhya Pradesh
21,785,18,573,Madhya Pradesh
22,747,14,579,Madhya Pradesh
23,632,10,523,Madhya Pradesh
24,736,11,507,Madhya Pradesh
25,716,8,622,Madhya Pradesh
26,874,12,644,Madhya Pradesh
27,789,9,659,Madhya Pradesh
28,628,10,552,Madhya Pradesh
29,917,14,591,Madhya Pradesh
30,834,13,723,Madhya Pradesh
31,838,10,614,Madhya Pradesh
