Day,Confirmed,Deceased,Recovered,State_Name
1,5537,198,2243,Maharashtra
2,6328,125,8018,Maharashtra
3,6364,198,3515,Maharashtra
4,7074,295,3395,Maharashtra
5,6555,151,3658,Maharashtra
6,5368,204,3522,Maharashtra
7,5134,224,3296,Maharashtra
8,6603,198,4634,Maharashtra
9,6875,219,4067,Maharashtra
10,7862,226,5366,Maharashtra
11,8139,223,4360,Maharashtra
12,7827,173,3340,Maharashtra
13,6497,193,4182,Maharashtra
14,6741,213,4500,Maharashtra
15,7975,233,3606,Maharashtra
16,8641,266,5527,Maharashtra
17,8308,258,2217,Maharashtra
18,8348,144,5306,Maharashtra
19,9518,258,3906,Maharashtra
20,8240,176,5460,Maharashtra
21,8336,246,7188,Maharashtra
22,10576,280,5552,Maharashtra
23,9895,298,6484,Maharashtra
24,9615,278,5714,Maharashtra
25,9251,257,7227,Maharashtra
26,9431,267,6044,Maharashtra
27,7924,227,8706,Maharashtra
28,7717,282,10333,Maharashtra
29,9211,298,7478,Maharashtra
30,11147,266,8860,Maharashtra
31,10320,265,7543,Maharashtra
