Day,Confirmed,Deceased,Recovered,State_Name
1,26,0,26,Manipur
2,19,0,37,Manipur
3,37,0,23,Manipur
4,9,0,28,Manipur
5,41,0,22,Manipur
6,24,0,45,Manipur
7,40,0,37,Manipur
8,5,0,22,Manipur
9,15,0,6,Manipur
10,132,0,33,Manipur
11,11,0,11,Manipur
12,16,0,53,Manipur
13,17,0,74,Manipur
14,46,0,50,Manipur
15,28,0,60,Manipur
16,64,0,49,Manipur
17,36,0,34,Manipur
18,91,0,19,Manipur
19,20,0,53,Manipur
20,14,0,85,Manipur
21,90,0,64,Manipur
22,45,0,34,Manipur
23,55,0,42,Manipur
24,31,0,31,Manipur
25,30,0,29,Manipur
26,59,0,1,Manipur
27,51,0,38,Manipur
28,31,0,56,Manipur
29,141,1,38,Manipur
30,47,3,19,Manipur
31,116,1,17,Manipur
