Day,Confirmed,Deceased,Recovered,State_Name
1,2,0,0,Meghalaya
2,3,0,1,Meghalaya
3,4,0,0,Meghalaya
4,8,0,0,Meghalaya
5,2,0,0,Meghalaya
6,16,0,0,Meghalaya
7,6,0,0,Meghalaya
8,6,1,2,Meghalaya
9,13,0,0,Meghalaya
10,73,0,0,Meghalaya
11,76,0,0,Meghalaya
12,33,0,0,Meghalaya
13,21,0,1,Meghalaya
14,2,0,0,Meghalaya
15,19,0,0,Meghalaya
16,40,0,3,Meghalaya
17,26,0,0,Meghalaya
18,15,0,0,Meghalaya
19,32,2,0,Meghalaya
20,19,0,3,Meghalaya
21,21,0,18,Meghalaya
22,24,0,7,Meghalaya
23,20,0,5,Meghalaya
24,53,1,5,Meghalaya
25,59,0,7,Meghalaya
26,56,0,41,Meghalaya
27,36,0,51,Meghalaya
28,41,0,8,Meghalaya
29,5,0,13,Meghalaya
30,19,0,3,Meghalaya
31,20,0,5,Meghalaya
