Day,Confirmed,Deceased,Recovered,State_Name
1,0,0,1,Mizoram
2,2,0,3,Mizoram
3,0,0,1,Mizoram
4,2,0,3,Mizoram
5,22,0,3,Mizoram
6,11,0,0,Mizoram
7,1,0,6,Mizoram
8,5,0,4,Mizoram
9,0,0,0,Mizoram
10,23,0,0,Mizoram
11,1,0,7,Mizoram
12,4,0,0,Mizoram
13,2,0,1,Mizoram
14,5,0,8,Mizoram
15,0,0,0,Mizoram
16,34,0,1,Mizoram
17,10,0,0,Mizoram
18,2,0,7,Mizoram
19,0,0,0,Mizoram
20,13,0,1,Mizoram
21,0,0,0,Mizoram
22,20,0,11,Mizoram
23,9,0,4,Mizoram
24,6,0,0,Mizoram
25,29,0,0,Mizoram
26,0,0,10,Mizoram
27,0,0,0,Mizoram
28,23,0,5,Mizoram
29,11,0,17,Mizoram
30,13,0,19,Mizoram
31,0,0,13,Mizoram
