Day,Confirmed,Deceased,Recovered,State_Name
1,42,0,14,Nagaland
2,34,0,15,Nagaland
3,4,0,31,Nagaland
4,24,0,0,Nagaland
5,27,0,3,Nagaland
6,35,0,12,Nagaland
7,19,0,60,Nagaland
8,13,0,1,Nagaland
9,16,0,0,Nagaland
10,59,0,0,Nagaland
11,16,0,9,Nagaland
12,26,0,14,Nagaland
13,71,0,13,Nagaland
14,51,0,6,Nagaland
15,6,0,2,Nagaland
16,14,0,43,Nagaland
17,40,0,14,Nagaland
18,22,0,27,Nagaland
19,10,0,13,Nagaland
20,33,0,39,Nagaland
21,9,0,1,Nagaland
22,54,0,1,Nagaland
23,90,0,44,Nagaland
24,65,1,7,Nagaland
25,50,3,4,Nagaland
26,50,0,8,Nagaland
27,46,1,20,Nagaland
28,75,-1,8,Nagaland
29,53,0,18,Nagaland
30,53,0,30,Nagaland
31,127,0,10,Nagaland
