Day,Confirmed,Deceased,Recovered,State_Name
1,25,0,29,Puducherry
2,63,0,30,Puducherry
3,22,1,53,Puducherry
4,80,1,21,Puducherry
5,42,0,43,Puducherry
6,65,0,32,Puducherry
7,32,0,37,Puducherry
8,110,0,67,Puducherry
9,49,2,35,Puducherry
10,72,1,18,Puducherry
11,65,1,53,Puducherry
12,81,0,49,Puducherry
13,50,0,46,Puducherry
14,63,0,44,Puducherry
15,65,3,60,Puducherry
16,147,1,58,Puducherry
17,89,3,67,Puducherry
18,58,3,48,Puducherry
19,109,0,92,Puducherry
20,93,1,111,Puducherry
21,87,1,53,Puducherry
22,121,1,51,Puducherry
23,120,3,31,Puducherry
24,95,1,83,Puducherry
25,139,3,78,Puducherry
26,133,2,84,Puducherry
27,85,3,75,Puducherry
28,139,4,62,Puducherry
29,166,0,92,Puducherry
30,121,1,84,Puducherry
31,174,1,142,Puducherry
