Day,Confirmed,Deceased,Recovered,State_Name
1,100,5,122,Punjab
2,116,3,155,Punjab
3,153,5,122,Punjab
4,172,5,40,Punjab
5,174,2,102,Punjab
6,208,5,86,Punjab
7,258,6,60,Punjab
8,158,3,274,Punjab
9,233,5,117,Punjab
10,217,4,72,Punjab
11,230,8,23,Punjab
12,234,4,352,Punjab
13,357,5,194,Punjab
14,333,9,77,Punjab
15,288,8,204,Punjab
16,295,9,410,Punjab
17,348,9,96,Punjab
18,350,7,81,Punjab
19,308,8,81,Punjab
20,410,8,583,Punjab
21,379,1,271,Punjab
22,412,6,252,Punjab
23,438,8,100,Punjab
24,477,5,355,Punjab
25,468,9,201,Punjab
26,534,15,513,Punjab
27,551,12,254,Punjab
28,609,18,688,Punjab
29,568,25,461,Punjab
30,510,9,296,Punjab
31,663,16,225,Punjab
