Day,Confirmed,Deceased,Recovered,State_Name
1,304,8,354,Rajasthan
2,350,9,374,Rajasthan
3,390,10,333,Rajasthan
4,480,7,359,Rajasthan
5,632,9,288,Rajasthan
6,524,5,350,Rajasthan
7,716,11,297,Rajasthan
8,659,10,291,Rajasthan
9,500,9,204,Rajasthan
10,611,6,550,Rajasthan
11,574,6,249,Rajasthan
12,644,7,234,Rajasthan
13,544,8,527,Rajasthan
14,635,6,539,Rajasthan
15,866,6,333,Rajasthan
16,737,8,468,Rajasthan
17,615,8,656,Rajasthan
18,711,7,518,Rajasthan
19,934,6,586,Rajasthan
20,956,9,465,Rajasthan
21,983,9,549,Rajasthan
22,961,6,620,Rajasthan
23,886,11,451,Rajasthan
24,958,8,732,Rajasthan
25,1120,11,759,Rajasthan
26,1132,11,648,Rajasthan
27,1134,9,880,Rajasthan
28,1072,11,483,Rajasthan
29,1144,10,992,Rajasthan
30,1156,13,922,Rajasthan
31,1147,13,614,Rajasthan
