Ramakrishna Mission Hospital,Private,Dedicated covid Hospital
Tomo Riba Institute Of Health And Medical Sciences,Private,Dedicated covid Hospital
Dr Lal PathLabs,Private,Dedicated covid Hospital
Niba Hospital,Private,Dedicated covid Hospital
Emmanuel BTM Hospital,Private,Dedicated covid Hospital
Polo Hospital,Private,Dedicated covid Hospital
Heema Hospital,Private,Dedicated covid Hospital
NERIST Health Unit,Private,Dedicated covid Hospital
Tara Memorial Hospital,Private,Dedicated covid Hospital
Tago Memorial Hospital,Private,Dedicated covid Hospital
Samaritan Hormin Hospital,Private,Dedicated covid Hospital
"Govt Civil Hospital, Chongkham",Government,Covid health centres
Military Hospital,Government,Covid health centres
Community Health Centre,Government,Covid health centres
Diyun CHC,Government,Covid health centres
"CHC, Sunpura",Government,Covid health centres
"General Hospital, Aalo",Government,Covid health centres
Bakin Pertin General Hospital,Government,Covid health centres
"Gyati Takka General Hospital, Ziro",Government,Covid health centres
"District Hospital, Bomdila",Government,Covid health centres
General Hospital Tezu,Government,Covid health centres
District Hospital Tawang,Government,Covid health centres
District Hospital Seppa,Government,Covid health centres
District Hospital,Government,Covid health centres
District Hospital Yingkiong,Government,Covid health centres
District Hospital,Government,Covid health centres
District Hospital,Government,Covid health centres
Cherish hospital and diagnostic centre,Government,Covid health centres
"General Hospital, Kharsang",Government,Covid health centres
Mahadevpur Government Hospital,Government,Covid health centres
CHC Miao,Government,Covid health centres
"CHC, Parbuk",Government,Covid health centres
"Community Health Centre, Hawai",Government,Covid health centres
"CHC- Palin, 50-Bedded Hospital Jorung",Government,Covid health centres
CHC Wakro,Government,Covid health centres
Community Health Center Manmao,Government,Covid health centres
Community Health Centre,,
