Regional Institute of Medical Sciences,Public,Cat 1- Dedicated Covid Hospital,Imphal
Jawaharlal Nehru Institute of Medical Sciences,Public,Cat 1- Dedicated Covid Hospital,Imphal East
"District Hospital, Churachandpur",Public,Cat 3 - Covid Care Centre,Churachandpur
"District Hospital, Thoubal",Public,Cat 3 - Covid Care Centre,Thoubal
"District Hospital, Bishnupur",Public,Cat 3 - Covid Care Centre,Bishnupur
"District Hospital, Chandel",Public,Cat 3 - Covid Care Centre,Chandel
"District Hospital, Senapati",Public,Cat 3 - Covid Care Centre,Senapati
"District Hospital, Tamenglong",Public,Cat 3 - Covid Care Centre,Tamenglong
"District Hospital, Ukhrul",Public,Cat 3 - Covid Care Centre,Ukhrul
"SHD, Jribam",Public,Cat 3 - Covid Care Centre,Jribam
"SHD, Moreh",Public,Cat 3 - Covid Care Centre,Tengnoupal
"Community Health Centre, Mao",Public,Cat 3 - Covid Care Centre,Senapati
"Primary Health Centre, Noney",Public,Cat 3 - Covid Care Centre,Noney
"Community Health Centre, Kakching",Public,Cat 3 - Covid Care Centre,Kakching
