Bethany Hospital,Covid health centre
Bethany Hospital,Dedicated Covid Hospital
Bethany Hospital Nongpoh,Covid health centre
BSF Composite Hospital,Covid health centre
CHC Ummulong,Covid health centre
CHC Laskein,Covid health centre
CHC Nongtalang,Covid health centre
"CHC, Alagre",Covid Care Center
"CHC, Alagre",Covid health centre
"CHC, Chockpot",Covid Care Center
"CHC, Chockpot",Covid health centre
"CHC, Dadengre",Covid Care Center
"CHC, Dadengre",Covid health centre
"CHC, Dalu",Covid Care Center
"CHC, Dalu",Covid health centre
"CHC, Ishamati",Covid Care Center
"CHC, Ishamati",Covid health centre
"CHC, Laskein",Covid Care Center
"CHC, Mawiong",Covid Care Center
"CHC, mawiong",Covid health centre
"CHC, Mawphlang",Covid Care Center
"CHC, Mawphlang",Covid health centre
"CHC, Mawsynram",Covid Care Center
"CHC, Nongtalang",Covid Care Center
"CHC, Phulbari",Covid Care Center
"CHC, Phulbari",Covid health centre
"CHC, Pynursla",Covid Care Center
"CHC, Pynursla",Covid health centre
"CHC, Ranikor",Covid Care Center
"CHC, Ranikor",Covid health centre
"CHC, Resubelpara",Covid Care Center
"CHC, Resubelpara",Covid health centre
"CHC, Rongjeng",Covid Care Center
"CHC, Salsella",Covid Care Center
"CHC, Salsella",Covid health centre
"CHC, Sohiong",Covid Care Center
"CHC, Sohra",Covid Care Center
"CHC, Sohra",Covid health centre
"CHC, Ummulong",Covid Care Center
Childrens Hospital,Covid health centre
Childrens Hospital,Dedicated Covid Hospital
Civil Hospital Ampati,Covid Care Center
Civil Hospital Ampati,Covid health centre
Civil Hospital Baghmara,Covid health centre
Civil Hospital Khliehrait,Covid health centre
Civil Hospital Mawkyrwat,Covid Care Center
Civil Hospital Mawkyrwat,Covid health centre
Civil Hospital Nongpoh,Covid health centre
Civil Hospital Nongstoin,Covid Care Center
Civil Hospital Nongstoin,Covid health centre
Civil Hospital shillong,Covid Care Center
Civil Hospital Shillong,Covid health centre
Civil Hospital Shillong,Dedicated Covid Hospital
Civil Hospital Tura,Covid health centre
"Civil Hospital, Baghmara",Covid Care Center
"Civil Hospital, Jowai",Covid Care Center
"Civil Hospital, Jowai",Covid health centre
"Civil Hospital, Khliehriat",Covid Care Center
"Civil Hospital, Nongpoh",Covid Care Center
"Civil Hospital, Tura",Covid Care Center
"Civil Hospital, Williamnaagar",Covid health centre
"Civil Hospital, Williamnagar",Covid Care Center
Dr. Norman Tunnel Hospital,Covid health centre
"Ganesh Das Hospital, shillong",Covid health centre
Holy Cross HospitalTura,Covid health centre
Holy Cross Mairang,Covid health centre
"Home Science College, Tura",Covid Care Center
IIM shilong,Covid Care Center
Mairiang Civil Hospital,Covid Care Center
Mariang Civil Hospital,Covid health centre
MATI shillong,Covid Care Center
"MCH, Jowai",Covid Care Center
"MCH, Jowai",Covid health centre
Military Hospital,Covid health centre
Military Hospital,Dedicated Covid Hospital
"MIMHANS, Shillong",Covid health centre
Mission Hospital Tura,Covid health centre
Nazerth Hospital,Covid health centre
Nazerth Hospital,Dedicated Covid Hospital
NEIGRIHMS,Covid health centre
NEIGRIHMS,Dedicated Covid Hospital
"Nursing School, Nongstoin",Covid Care Center
PHC Namdong,Covid health centre
"PHC, Mawsiathhnam",Covid health centre
"PHC, Pomlum",Covid Care Center
"PHC, Sahsniang",Covid health centre
"PHC, Barato",Covid Care Center
"PHC, Barato",Covid health centre
"PHC, Dainadubi",Covid Care Center
"PHC, Dainadubi",Covid health centre
"PHC, Dangar",Covid Care Center
"PHC, Dawki",Covid Care Center
"PHC, Dawki",Covid health centre
"PHC, Diengiei",Covid Care Center
"PHC, Diengiei",Covid health centre
"PHC, Diengpasoh",Covid Care Center
"PHC, Iooksi",Covid Care Center
"PHC, iooksi",Covid health centre
"PHC, Jarain",Covid Care Center
"PHC, Jarain",Covid health centre
