"Civil Hospital, Aizawl",Government
Hospital Veng Presbyterian Church,Private
Greenwood Hospital,Private
Seventh day Adventist Hospital,Private
Bethesda Hospital,Private
Nazareth Hospital,Private
Kulikawn Hospital,Private
Ebenezer Medical Cente,Private
Dr Frazers clinic,Private
City Clinic & Infertility Centre,Private
Grace Nursing Home and Research Center,Private
Christian Hospital Serkawn,Private
Synod Hospital Durtlang,Private
LRM Hospital Aizawl,Private
Aizawl Hospital & Research Centre,Private
Mizoram State Cancer Institute,Private
HOPE HOSPITAL,Private
Alpha Hospital,Private
Vaivenga Hospital and Research Center,Private
Lairam Christian Medical Centre,Private
Faith Hospital,Private
Zotres hospital,Private
Care Hospital,Private
Med-Aim Adventist Hospital,Private
Redeem Hospital,Private
Trinity Hospital,Private
John Williams Hospital,Private
New Life Hospital New Building,Private
Christian Hospital Lawngtlai,Private
Blessino Nursing Home,Private
Mercy Hospital(Rural Diagnostic And Research Centre),Private
CITY HOSPITAL,Private
"State Referral Hospital, Falkawn",Private
Maraland Gospel Centenary Hospital,Private
Grace Nursing Home and Research Center,Private
Kawrtethawveng PHC,Government
CHC HNAHTHIAL,Government
District Hospital Kolasib,Government
Aizawl District TB Centre,Government
"District Hospital, Siaha",Government
Khatla Health Sub Centre,Government
"Health Centre, Mission Veng",Government
District Hospital,Government
"District Hospital, Serchhip",Government
Civil Hospital,Government
Champhai District Hospital,Government
Bukpui PHC,Government
Veterinary Policlinic HOSPITAL,Government
Lengpui PHC,Government
Leprosy Hospital,Government
"Primary Health Center, Muallungthu Veng Thingsai",Government
District Hospital Kolasib,Government
DM Hospital,Government
Sub District Hospital Hnahthial,Government
ITI Veng Health Sub Centre,Government
Lungsen PHC,Government
PHC FARKAWN,Government
Health office. Mizoram,Government
PHC,Government
Grace Nursing Home and Research Center,Private
PHC PANGZAWL,Government
ECHS polyclinic,Private
ZAWLNUAM PHC,Government
AH&vety Lti(losa),Private
Public Health Centre,Government
Nazareth Nursing Home,Private
"DEMAGIRI,CIVIL HOSPITAL",Private
Urban Primary Health Centre,Government
Mizoram Health Care,Government
