"aveera Hospital Pvt Ltd, Anantapur",Private Hospitals,Dedicated COVID Hospital,ANANTAPUR
Apollo hospitals Enterprises Ltd - A & ARAGONDA(CHITTOOR),Private Medical College,Dedicated COVID Hospital,CHITTOOR
"Padmavati Medical College, Tirupati",Govt Medical College,Dedicated COVID Hospital,CHITTOOR
"Gsl Medical College And Gsl General Hospital, Rajanagaram",Private Medical College,Dedicated COVID Hospital,EAST GODAVARI
NRI Academy of Sciences,Private Medical College,Dedicated COVID Hospital,GUNTUR
AIIMS,Central Ministry Hospital,Dedicated COVID Hospital,GUNTUR
"Pinnamaneni Institue Of Medical Sciences, Gannavaram",Private Medical College,Dedicated COVID Hospital,KRISHNA
GGH Vijayawada,Govt Medical College,Dedicated COVID Hospital,KRISHNA
Shantiram Medical College General Hospital,Private Medical College,Dedicated COVID Hospital,KURNOOL
"KIMS HOSPITALS, ONGOLE",Private Hospitals,Dedicated COVID Hospital,PRAKASAM
Narayana Medical College & Hospital,Private Medical College,Dedicated COVID Hospital,SPSR NELLORE
Govt General Hospital Nellore,Govt Medical College,Dedicated COVID Hospital,SPSR NELLORE
GEMS HOSPITAL ADITYA EDUCATION SOCIETY - SRIKAKULAM,Private Medical College,Dedicated COVID Hospital,SRIKAKULAM
Visakha Institute of Medical Sciences - Visakhapatnam,Govt Medical College,Dedicated COVID Hospital,VISAKHAPATANAM
Gitam Institute Of Medical Sciences And Research&Visakhapatnam,Private Medical College,Dedicated COVID Hospital,VISAKHAPATANAM
INHS,Central Ministry Hospital,Dedicated COVID Hospital,VISAKHAPATANAM
"MIMS HOSPITAL,NELLIMARLA,VIZIANGARAM",Private Medical College,Dedicated COVID Hospital,VIZIANAGARAM
"Alluri Sitarama Raju Academy Of Medical Sciences (Asram Hospital), Eluru",Private Medical College,Dedicated COVID Hospital,WEST GODAVARI
Fathima Inistitute of Medical Sciences,Private Medical College,Dedicated COVID Hospital,Y.S.R. KADAPA
"CHANDRA SUPER SPECIALTY HOSPITAL, ANANTAPUR",Private Hospitals,COVID Health Center,ANANTAPUR
"Government General Hospital, Anantapur",Govt Medical College,COVID Health Center,ANANTAPUR
"Dr. YSR Memorial Hospital, Sai Nagar, Anantapur",Private Hospitals,COVID Health Center,ANANTAPUR
"District Hospital , Hindupur",Govt Hospitals,COVID Health Center,ANANTAPUR
"Rural Development Trust Hospital, Bathalapalli, Anantapur dist.",Private Medical College,COVID Health Center,ANANTAPUR
