A.C.S. Medical College And Hospital,Cat. I - Dedicated COVID Hospitals / DCH,Thiruvallur
A.S Hospital,Cat. I - Dedicated COVID Hospitals / DCH,Ariyalur
Aakash Hospital,Cat. II - Dedicated COVID Health Center / DCHC,Thiruvallur
Aasi Multi Speciality Hospital,Cat. II - Dedicated COVID Health Center / DCHC,Ramanathapuram
"AM Jain College, Nanganallur",Cat. III - Dedicated COVID Center / DCCC,Chennai
"Amaravathi Hospital,Karur Tn.",Cat. II - Dedicated COVID Health Center / DCHC,Karur
Ambedkar College,Cat. III - Dedicated COVID Center / DCCC,Chennai
Ambedkar Law College,Cat. III - Dedicated COVID Center / DCCC,Chennai
Ambur_SDH,Cat. II - Dedicated COVID Health Center / DCHC,Tirupathur
Amma Government College,Cat. III - Dedicated COVID Center / DCCC,Chennai
"Anbu Hospital,Thanjavur Tn.",Cat. II - Dedicated COVID Health Center / DCHC,Thanjavur
Anna Adarsh College,Cat. III - Dedicated COVID Center / DCCC,Chennai
Anna Hospital(East Wing) Ward no:1,Cat. III - Dedicated COVID Center / DCCC,Chennai
Anna University,Cat. III - Dedicated COVID Center / DCCC,Chennai
Annai Medical Centre,Cat. I - Dedicated COVID Hospitals / DCH,Villupuram
Annapoorna Medical College &Hospital,Cat. I - Dedicated COVID Hospitals / DCH,Salem
Apollo Hospital,Cat. I - Dedicated COVID Hospitals / DCH,Madurai
Apollo Hospital,Cat. I - Dedicated COVID Hospitals / DCH,Tiruchirappalli
"Apollo Hospitals Ayyanambakkam,Thiruvallur Tn.",Cat. I - Dedicated COVID Hospitals / DCH,Thiruvallur
"Apollo Hospitals,Sivagangai Tn.",Cat. II - Dedicated COVID Health Center / DCHC,Sivagangai
"Apollo Logo Hospital,Karur Tn.",Cat. II - Dedicated COVID Health Center / DCHC,Karur
Aranthangi _DHQS,Cat. I - Dedicated COVID Hospitals / DCH,Pudukkottai
"Aravinth Hospital,Rangar Sannadhi Str,Namakkal Tn.",Cat. II - Dedicated COVID Health Center / DCHC,Namakkal
"Arun Priya Nursing Home, Nagapattinam Tn.",Cat. II - Dedicated COVID Health Center / DCHC,Nagapattinam
Aruppukottai_SDH,Cat. I - Dedicated COVID Hospitals / DCH,Virudhunagar
Athur _SDH,Cat. II - Dedicated COVID Health Center / DCHC,Salem
AVM Hospital,Cat. II - Dedicated COVID Health Center / DCHC,Thoothukudi
Bharath Medical College,Cat. I - Dedicated COVID Hospitals / DCH,Chengalpattu
Bharathi Arts College Mint,Cat. III - Dedicated COVID Center / DCCC,Chennai
Bharathi Hospital,Cat. I - Dedicated COVID Hospitals / DCH,Madurai
"BHEL Hospital, BAP Ranipet",Cat. III - Dedicated COVID Center / DCCC,Vellore
"BHEL Main Hospital, Hpbp, Trichy",Cat. III - Dedicated COVID Center / DCCC,Tiruchirappalli
"Billroth Hospitals Shenoy Nagar, Chennai Tn.",Cat. I - Dedicated COVID Hospitals / DCH,Chennai
"C.S.I Mission Hospital,Kanyakumari Tn.",Cat. I - Dedicated COVID Hospitals / DCH,Kanyakumari
Care 24 Medical Centre And Hospital,Cat. I - Dedicated COVID Hospitals / DCH,Erode
"Chandrasekara Hospital, Hosur, Krishnagiri Tn.",Cat. II - Dedicated COVID Health Center / DCHC,Krishnagiri
"Chettinad Engineering College, Puliyur",Cat. III - Dedicated COVID Center / DCCC,Karur
"Chettinad Super Speciality Hosp,Kancheepuram Tn.",Cat. I - Dedicated COVID Hospitals / DCH,Kancheepuram
Cheyyar _DHQS,Cat. I - Dedicated COVID Hospitals / DCH,Thiruvannamalai
Chidambaram _SDH,Cat. I - Dedicated COVID Hospitals / DCH,Cuddalore
"Christian Fellow Community Centre,Dindigul Tn.",Cat. I - Dedicated COVID Hospitals / DCH,Dindigul
"Christian Fellowship Hospital,Dindigul TN.",Cat. I - Dedicated COVID Hospitals / DCH,Dindigul
Christian Medical College,Cat. I - Dedicated COVID Hospitals / DCH,Vellore
"City Hospital, Aruppukottai, Virudhunagar Tn.",Cat. II - Dedicated COVID Health Center / DCHC,Virudhunagar
"City Hospital,Erode TN.",Cat. I - Dedicated COVID Hospitals / DCH,Erode
Connoor_SDH,Cat. II - Dedicated COVID Health Center / DCHC,The Nilgiris
COVID care clinic - Slum clearance board,Cat. III - Dedicated COVID Center / DCCC,Ariyalur
"CSI Kalyani General Hospital, Chennai Tn.",Cat. II - Dedicated COVID Health Center / DCHC,Chennai
Cumbum_SDH,Cat. II - Dedicated COVID Health Center / DCHC,Theni
D.G.Vaishnava College,Cat. III - Dedicated COVID Center / DCCC,Chennai
Deenadayalan Building,Cat. III - Dedicated COVID Center / DCCC,Thiruvallur
Devadoss Multispeciality Hospital.,Cat. II - Dedicated COVID Health Center / DCHC,Madurai
Devaki Speciality Hospital,Cat. I - Dedicated COVID Hospitals / DCH,Madurai
Devakottai_SDH,Cat. II - Dedicated COVID Health Center / DCHC,Sivagangai
Dhanalakshmisrinivasan Medical College And Hospital,Cat. I - Dedicated COVID Hospitals / DCH,Perambalur
"Dharan Hospital, Seelanaickanpatti",Cat. I - Dedicated COVID Hospitals / DCH,Salem
Dharapuram_SDH,Cat. II - Dedicated COVID Health Center / DCHC,Tiruppur
"Diocese Of Thanjavur Society Olh, Thanjavur Tn.",Cat. II - Dedicated COVID Health Center / DCHC,Thanjavur
"District Head Qtr. Hospital, Pollachi (DHQS)",Cat. I - Dedicated COVID Hospitals / DCH,Coimbatore
District Head Quarters Hospital at Kancheepuram,Cat. I - Dedicated COVID Hospitals / DCH,Kancheepuram
District Institute For Education And Training Hostel,Cat. III - Dedicated COVID Center / DCCC,Karur
"DNV Polyclinic,Dharmapuri Tn.",Cat. II - Dedicated COVID Health Center / DCHC,Dharmapuri
"Dr Kamakshi Memorial Hospital,Kancheepuram Tn.",Cat. I - Dedicated COVID Hospitals / DCH,Chennai
"Dr Mehtas Hospitals Velampanchavady ,Chennai Tn. New Unit",Cat. I - Dedicated COVID Hospitals / DCH,Thiruvallur
"Dr Morris Mathia Hospital, Kanyakumari TN.",Cat. I - Dedicated COVID Hospitals / DCH,Kanyakumari
"Dr. Jayasekaran Medical Trust Hospital,Nagarkoil",Cat. I - Dedicated COVID Hospitals / DCH,Kanyakumari
E.S. Hospital,Cat. II - Dedicated COVID Health Center / DCHC,Villupuram
Edapadi_SDH,Cat. II - Dedicated COVID Health Center / DCHC,Salem
"Erode Medical Centre, Perundurai Road, Erode Tn.",Cat. I - Dedicated COVID Hospitals / DCH,Erode
ESI Ayanavaram,Cat. I - Dedicated COVID Hospitals / DCH,Chennai
ESI K.K.Nagar,Cat. I - Dedicated COVID Hospitals / DCH,Chennai
"ESI Medical College Hospital, Coimbatore",Cat. I - Dedicated COVID Hospitals / DCH,Coimbatore
ESI_Madurai,Cat. I - Dedicated COVID Hospitals / DCH,Madurai
