Day,Confirmed,Deceased,Recovered,State_Name
1,1,0,2,Sikkim
2,12,0,0,Sikkim
3,1,0,0,Sikkim
4,1,0,0,Sikkim
5,22,0,9,Sikkim
6,0,0,4,Sikkim
7,2,0,0,Sikkim
8,6,0,6,Sikkim
9,1,0,0,Sikkim
10,0,0,9,Sikkim
11,26,0,0,Sikkim
12,4,0,1,Sikkim
13,2,0,6,Sikkim
14,45,0,-1,Sikkim
15,11,0,1,Sikkim
16,13,0,0,Sikkim
17,32,0,1,Sikkim
18,19,0,2,Sikkim
19,10,0,0,Sikkim
20,22,0,2,Sikkim
21,25,0,16,Sikkim
22,108,0,4,Sikkim
23,22,0,10,Sikkim
24,17,0,15,Sikkim
25,22,0,5,Sikkim
26,46,1,5,Sikkim
27,10,0,27,Sikkim
28,24,0,12,Sikkim
29,17,0,12,Sikkim
30,14,0,16,Sikkim
31,29,0,17,Sikkim
