Day,Confirmed,Deceased,Recovered,State_Name
1,3882,63,2852,Tamil Nadu
2,4343,57,3095,Tamil Nadu
3,4329,64,2357,Tamil Nadu
4,4280,65,2214,Tamil Nadu
5,4150,60,2186,Tamil Nadu
6,3827,61,3793,Tamil Nadu
7,3616,65,4545,Tamil Nadu
8,3756,64,3051,Tamil Nadu
9,4231,65,3994,Tamil Nadu
10,3680,64,4163,Tamil Nadu
11,3965,69,3591,Tamil Nadu
12,4244,68,3617,Tamil Nadu
13,4328,66,3035,Tamil Nadu
14,4526,67,4743,Tamil Nadu
15,4496,68,5000,Tamil Nadu
16,4549,69,5106,Tamil Nadu
17,4538,79,3391,Tamil Nadu
18,4807,88,3049,Tamil Nadu
19,4979,78,4059,Tamil Nadu
20,4985,70,3861,Tamil Nadu
21,4965,75,4894,Tamil Nadu
22,5849,518,4913,Tamil Nadu
23,6472,88,5210,Tamil Nadu
24,6785,88,6504,Tamil Nadu
25,6988,89,7758,Tamil Nadu
26,6986,85,5471,Tamil Nadu
27,6993,77,5723,Tamil Nadu
28,6972,88,4707,Tamil Nadu
29,6426,82,5927,Tamil Nadu
30,5864,100,5295,Tamil Nadu
31,5881,94,5778,Tamil Nadu
