Day,Confirmed,Deceased,Recovered,State_Name
1,1018,7,788,Telangana
2,1213,8,987,Telangana
3,1892,8,1126,Telangana
4,1850,5,1342,Telangana
5,1590,7,1166,Telangana
6,1831,11,2078,Telangana
7,1879,7,1506,Telangana
8,1924,11,992,Telangana
9,1410,7,913,Telangana
10,1278,8,1013,Telangana
11,1178,9,1714,Telangana
12,1269,8,1563,Telangana
13,1550,9,1197,Telangana
14,1524,10,1161,Telangana
15,1597,11,1159,Telangana
16,1676,10,1296,Telangana
17,1478,7,1410,Telangana
18,1284,6,1902,Telangana
19,1296,6,1831,Telangana
20,1198,7,1885,Telangana
21,1430,7,2062,Telangana
22,1555,9,1281,Telangana
23,1567,9,1661,Telangana
24,1640,8,1007,Telangana
25,1593,8,998,Telangana
26,0,0,0,Telangana
27,1473,8,774,Telangana
28,1610,9,803,Telangana
29,1764,12,842,Telangana
30,1811,13,821,Telangana
31,1986,14,816,Telangana
