Day,Confirmed,Deceased,Recovered,State_Name
1,8,0,1,Tripura
2,39,0,53,Tripura
3,93,0,53,Tripura
4,25,0,3,Tripura
5,23,0,4,Tripura
6,111,0,13,Tripura
7,24,0,29,Tripura
8,57,0,76,Tripura
9,16,0,14,Tripura
10,142,0,34,Tripura
11,31,1,3,Tripura
12,105,0,46,Tripura
13,26,0,54,Tripura
14,90,0,63,Tripura
15,98,1,66,Tripura
16,98,0,33,Tripura
17,118,0,47,Tripura
18,171,2,51,Tripura
19,223,0,24,Tripura
20,202,2,86,Tripura
21,252,1,81,Tripura
22,126,1,107,Tripura
23,206,1,39,Tripura
24,100,1,59,Tripura
25,105,0,79,Tripura
26,37,2,152,Tripura
27,147,4,105,Tripura
28,221,4,154,Tripura
29,216,0,57,Tripura
30,219,0,284,Tripura
31,274,0,365,Tripura
