Day,Confirmed,Deceased,Recovered,State_Name
1,564,21,545,Uttar Pradesh
2,769,17,592,Uttar Pradesh
3,972,14,376,Uttar Pradesh
4,757,24,557,Uttar Pradesh
5,1153,12,607,Uttar Pradesh
6,929,24,348,Uttar Pradesh
7,1332,18,518,Uttar Pradesh
8,1188,18,704,Uttar Pradesh
9,1206,17,796,Uttar Pradesh
10,1338,27,660,Uttar Pradesh
11,1392,24,902,Uttar Pradesh
12,1384,21,645,Uttar Pradesh
13,1654,21,869,Uttar Pradesh
14,1594,28,778,Uttar Pradesh
15,1659,29,762,Uttar Pradesh
16,2058,34,932,Uttar Pradesh
17,1722,38,959,Uttar Pradesh
18,1873,24,1030,Uttar Pradesh
19,2211,38,1181,Uttar Pradesh
20,1913,46,986,Uttar Pradesh
21,2128,37,1024,Uttar Pradesh
22,2300,34,1645,Uttar Pradesh
23,2516,35,2303,Uttar Pradesh
24,2667,50,1909,Uttar Pradesh
25,2971,39,2191,Uttar Pradesh
26,3246,39,1738,Uttar Pradesh
27,3505,30,1192,Uttar Pradesh
28,3458,41,1687,Uttar Pradesh
29,3383,33,1287,Uttar Pradesh
30,3705,57,996,Uttar Pradesh
31,4422,43,2060,Uttar Pradesh
