Day,Confirmed,Deceased,Recovered,State_Name
1,66,0,86,Uttarakhand
2,37,1,88,Uttarakhand
3,64,0,76,Uttarakhand
4,45,0,21,Uttarakhand
5,31,0,22,Uttarakhand
6,37,0,62,Uttarakhand
7,69,1,35,Uttarakhand
8,28,3,29,Uttarakhand
9,47,0,22,Uttarakhand
10,68,0,34,Uttarakhand
11,44,0,12,Uttarakhand
12,120,1,68,Uttarakhand
13,71,2,70,Uttarakhand
14,78,1,11,Uttarakhand
15,99,0,81,Uttarakhand
16,197,0,47,Uttarakhand
17,120,1,26,Uttarakhand
18,174,1,60,Uttarakhand
19,239,0,35,Uttarakhand
20,127,3,96,Uttarakhand
21,207,0,85,Uttarakhand
22,451,2,52,Uttarakhand
23,145,3,50,Uttarakhand
24,272,2,42,Uttarakhand
25,244,1,54,Uttarakhand
26,143,0,71,Uttarakhand
27,224,3,109,Uttarakhand
28,259,4,45,Uttarakhand
29,279,2,91,Uttarakhand
30,199,4,185,Uttarakhand
31,118,4,172,Uttarakhand
