Day,Confirmed,Deceased,Recovered,State_Name
1,611,15,398,West Bengal
2,649,16,509,West Bengal
3,669,18,534,West Bengal
4,743,19,595,West Bengal
5,895,21,545,West Bengal
6,861,22,524,West Bengal
7,850,25,555,West Bengal
8,986,23,501,West Bengal
9,1088,27,535,West Bengal
10,1198,26,522,West Bengal
11,1344,26,611,West Bengal
12,1560,26,622,West Bengal
13,1435,24,632,West Bengal
14,1390,24,718,West Bengal
15,1589,20,749,West Bengal
16,1690,23,735,West Bengal
17,1894,26,838,West Bengal
18,2198,27,1286,West Bengal
19,2278,36,1344,West Bengal
20,2282,35,1535,West Bengal
21,2261,35,1617,West Bengal
22,2291,39,1615,West Bengal
23,2436,34,2006,West Bengal
24,2216,35,1873,West Bengal
25,2404,42,2125,West Bengal
26,2341,40,2097,West Bengal
27,2112,39,2166,West Bengal
28,2134,38,2105,West Bengal
29,2294,41,2094,West Bengal
30,2434,46,2140,West Bengal
31,2496,45,2118,West Bengal
